"Date","DV","VV","TN","TM","HR","PP","RAD_MEA","SUNSHINE","Nombre_Base"
2017-08-01,3,2.8,17.2,21.2,82,4.9,15.1,12.5541666666667,"metdata_Santamaria"
2017-09-01,7,1.9,16.8,21.9,83,0,22.9,12.3063888888889,"metdata_Santamaria"
2017-10-01,7,1.5,18.2,20.6,92,15,18,12.0341666666667,"metdata_Santamaria"
2017-11-01,7,2.5,15.7,21.1,78,1.4,20.1,11.7669444444444,"metdata_Santamaria"
2017-12-01,3,4.6,17.3,21.5,57,0,20.2,11.5813888888889,"metdata_Santamaria"
2018-01-01,4,6.6,19,21.3,54,0,13,11.5513888888889,"metdata_Santamaria"
2018-02-01,3,6.9,20,22.7,56,0,24.8,11.705,"metdata_Santamaria"
2018-03-01,4,3.9,16.9,21.7,47,0,26.2,11.9361111111111,"metdata_Santamaria"
2018-04-01,4,3,17.7,22.4,43,0,26.6,12.2213888888889,"metdata_Santamaria"
2018-05-01,4,6.1,19.3,23.5,48,0,27.9,12.4808333333333,"metdata_Santamaria"
2018-06-01,4,3.6,19,22.5,74,2.2,24.1,12.6683333333333,"metdata_Santamaria"
2018-07-01,4,4.3,17.3,22.3,66,0,20.5,12.6975,"metdata_Santamaria"
2018-08-01,7,2.4,17.4,20.3,87,15.7,15.8,12.5558333333333,"metdata_Santamaria"
2018-09-01,7,1.9,16.4,21,89,2.1,18.7,12.3086111111111,"metdata_Santamaria"
2018-10-01,1,2.4,17.5,20.7,89,0.1,17.9,12.0369444444444,"metdata_Santamaria"
2018-11-01,7,2.7,15.8,21.2,82,9.3,23.5,11.7691666666667,"metdata_Santamaria"
2018-12-01,7,2.7,16,20.8,81,0,14.9,11.5825,"metdata_Santamaria"
2019-01-01,4,7.7,18.9,22.5,56,0,23.2,11.5508333333333,"metdata_Santamaria"
2019-02-01,4,4.7,13.9,21.2,53,0,22,11.7033333333333,"metdata_Santamaria"
2019-03-01,4,5,18.9,22.8,61,0,23.9,11.9336111111111,"metdata_Santamaria"
2019-04-01,4,3.9,16.7,23.2,58,0,22.5,12.2191666666667,"metdata_Santamaria"
2019-05-01,4,5.8,20.8,23.9,64,0,20.2,12.4788888888889,"metdata_Santamaria"
2019-06-01,7,2.9,17.1,21.8,84,13.9,23,12.6672222222222,"metdata_Santamaria"
2019-07-01,4,3.5,19.1,22.6,71,0,12.6,12.6980555555556,"metdata_Santamaria"
2019-08-01,4,3.4,19.3,23.4,74,0,24.2,12.5572222222222,"metdata_Santamaria"
2019-09-01,3,3.3,17.4,21.3,80,7.7,16.4,12.3108333333333,"metdata_Santamaria"
2019-10-01,7,2.4,16,19.9,87,18.8,14.3,12.0391666666667,"metdata_Santamaria"
2019-11-01,4,3.8,17.8,22.3,76,0,21.8,11.7711111111111,"metdata_Santamaria"
